reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD010254-bib-0001,"Agouridis AP, Tsimihodimos V, Filippatos TD, Dimitriou AA, Tellis Costantinos C, Elisaf MS, et al. ",The effects of rosuvastatin alone or in combination with fenofibrate or omega 3 fatty acids on inflammation and oxidative stress in patients with mixed dyslipidemia, Expert Opinion on Pharmacotherapy ,2011,12,    ,['citation-journal']," Agouridis AP, Tsimihodimos V, Filippatos TD, Dimitriou AA, Tellis Costantinos C, Elisaf MS, et al. The effects of rosuvastatin alone or in combination with fenofibrate or omega 3 fatty acids on inflammation and oxidative stress in patients with mixed dyslipidemia.  Expert Opinion on Pharmacotherapy 2011;12(17):2605‐11. [MEDLINE: 21714585]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1517/14656566.2011.591383', 'https://www.ncbi.nlm.nih.gov/pubmed/21714585', 'https://scholar.google.com/scholar_lookup?title=The+effects+of+rosuvastatin+alone+or+in+combination+with+fenofibrate+or+omega+3+fatty+acids+on+inflammation+and+oxidative+stress+in+patients+with+mixed+dyslipidemia+&author=AP+Agouridis&author=V+Tsimihodimos&author=TD+Filippatos&author=AA+Dimitriou&author=C+TellisCostantinos&author=MS+Elisaf&publication_year=2011&hl=en']",21714585,https://doi.org/10.1517/14656566.2011.591383, Agouridis 2011 {published data only}  ,included,CD010254-bbs2-0001,,,,21714585,32.0,,,21714585
CD010254-bib-0002,"Agouridis AP, Tsimihodimos V, Filippatos TD, Tselepis AD, Elisaf MS. ",High doses of rosuvastatin are superior to low doses of rosuvastatin plus fenofibrate or n‐3 fatty acids in mixed dyslipidemia, Lipids ,2011,46,    ,['citation-journal']," Agouridis AP, Tsimihodimos V, Filippatos TD, Tselepis AD, Elisaf MS. High doses of rosuvastatin are superior to low doses of rosuvastatin plus fenofibrate or n‐3 fatty acids in mixed dyslipidemia.  Lipids 2011;46(6):521‐8. [MEDLINE: 21327725]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s11745-011-3538-0', 'https://www.ncbi.nlm.nih.gov/pubmed/21327725', 'https://scholar.google.com/scholar_lookup?title=High+doses+of+rosuvastatin+are+superior+to+low+doses+of+rosuvastatin+plus+fenofibrate+or+n‐3+fatty+acids+in+mixed+dyslipidemia+&author=AP+Agouridis&author=V+Tsimihodimos&author=TD+Filippatos&author=AD+Tselepis&author=MS+Elisaf&publication_year=2011&hl=en']",21327725,https://doi.org/10.1007/s11745-011-3538-0, Agouridis 2011 {published data only}  ,included,CD010254-bbs2-0001,,21714585,,21327725,21.0,,,21327725
CD010254-bib-0003,"Andreou I, Tousoulis D, Miliou A, Tentolouris C, Zisimos K, Gounari P, et al. ",Effects of rosuvastatin on myeloperoxidase levels in patients with chronic heart failure: A randomized placebo‐controlled study, Atherosclerosis ,2010,210,    ,['citation-journal']," Andreou I, Tousoulis D, Miliou A, Tentolouris C, Zisimos K, Gounari P, et al. Effects of rosuvastatin on myeloperoxidase levels in patients with chronic heart failure: A randomized placebo‐controlled study.  Atherosclerosis 2010;210(1):194‐8. [MEDLINE: 19962701]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.atherosclerosis.2009.10.046', 'https://www.ncbi.nlm.nih.gov/pubmed/19962701', 'https://scholar.google.com/scholar_lookup?title=Effects+of+rosuvastatin+on+myeloperoxidase+levels+in+patients+with+chronic+heart+failure:+A+randomized+placebo‐controlled+study+&author=I+Andreou&author=D+Tousoulis&author=A+Miliou&author=C+Tentolouris&author=K+Zisimos&author=P+Gounari&publication_year=2010&hl=en']",19962701,https://doi.org/10.1016/j.atherosclerosis.2009.10.046, Andreou 2010 {published data only}  ,included,CD010254-bbs2-0002,,,19962701,19962701,57.0,,,19962701
CD010254-bib-0004,"Tousoulis D, Andreou I, Tentolouris C, Antoniades C, Papageorgiou N, Gounari P, et al. ",Comparative effects of rosuvastatin and allopurinol on circulating levels of matrix metalloproteinases and tissue inhibitors of metalloproteinases in patients with chronic heart failure, International Journal of Cardiology ,2010,145,    ,['citation-journal']," Tousoulis D, Andreou I, Tentolouris C, Antoniades C, Papageorgiou N, Gounari P, et al. Comparative effects of rosuvastatin and allopurinol on circulating levels of matrix metalloproteinases and tissue inhibitors of metalloproteinases in patients with chronic heart failure.  International Journal of Cardiology 2010;145(3):438‐43. [MEDLINE: 19539384]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.ijcard.2009.05.051', 'https://www.ncbi.nlm.nih.gov/pubmed/19539384', 'https://scholar.google.com/scholar_lookup?title=Comparative+effects+of+rosuvastatin+and+allopurinol+on+circulating+levels+of+matrix+metalloproteinases+and+tissue+inhibitors+of+metalloproteinases+in+patients+with+chronic+heart+failure+&author=D+Tousoulis&author=I+Andreou&author=C+Tentolouris&author=C+Antoniades&author=N+Papageorgiou&author=P+Gounari&publication_year=2010&hl=en']",19539384,https://doi.org/10.1016/j.ijcard.2009.05.051, Andreou 2010 {published data only}  ,included,CD010254-bbs2-0002,,,19539384,19539384,21.0,,,19539384
CD010254-bib-0005,"Tousoulis D, Andreou I, Tsiatas M, Miliou A, Tentolouris C, Siasos G, et al. ",Effects of rosuvastatin and allopurinol on circulating endothelial progenitor cells in patients with congestive heart failure: The impact of inflammatory process and oxidative stress, Atherosclerosis ,2011,214,    ,['citation-journal']," Tousoulis D, Andreou I, Tsiatas M, Miliou A, Tentolouris C, Siasos G, et al. Effects of rosuvastatin and allopurinol on circulating endothelial progenitor cells in patients with congestive heart failure: The impact of inflammatory process and oxidative stress.  Atherosclerosis 2011;214(1):151‐7. [MEDLINE: 21122851]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.atherosclerosis.2010.11.002', 'https://www.ncbi.nlm.nih.gov/pubmed/21122851', 'https://scholar.google.com/scholar_lookup?title=Effects+of+rosuvastatin+and+allopurinol+on+circulating+endothelial+progenitor+cells+in+patients+with+congestive+heart+failure:+The+impact+of+inflammatory+process+and+oxidative+stress+&author=D+Tousoulis&author=I+Andreou&author=M+Tsiatas&author=A+Miliou&author=C+Tentolouris&author=G+Siasos&publication_year=2011&hl=en']",21122851,https://doi.org/10.1016/j.atherosclerosis.2010.11.002, Andreou 2010 {published data only}  ,included,CD010254-bbs2-0002,,,21122851,21122851,73.0,,,21122851
CD010254-bib-0006,"Betteridge DJ, Gibson J, Sager PT. ",Comparison of effectiveness of Rosuvastatin versus Atorvastatin on the achievement of combined c‐reactive protein (< 2 mg/L) and low‐density lipoprotein cholesterol (< 70 mg/dl) targets in patients with type 2 diabetes Mellitus (from the ANDROMEDA study), American Journal of Cardiology ,2007,100,    ,['citation-journal']," Betteridge DJ, Gibson J, Sager PT. Comparison of effectiveness of Rosuvastatin versus Atorvastatin on the achievement of combined c‐reactive protein (< 2 mg/L) and low‐density lipoprotein cholesterol (< 70 mg/dl) targets in patients with type 2 diabetes Mellitus (from the ANDROMEDA study).  American Journal of Cardiology 2007;100(8):1245‐8. [MEDLINE: 17920365]CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/17920365', 'https://scholar.google.com/scholar_lookup?title=Comparison+of+effectiveness+of+Rosuvastatin+versus+Atorvastatin+on+the+achievement+of+combined+c‐reactive+protein+(<+2+mg/L)+and+low‐density+lipoprotein+cholesterol+(<+70+mg/dl)+targets+in+patients+with+type+2+diabetes+Mellitus+(from+the+ANDROMEDA+study)+&author=DJ+Betteridge&author=J+Gibson&author=PT+Sager&publication_year=2007&hl=en']",17920365,, ANDROMEDA 2007 {published data only}  ,included,CD010254-bbs2-0003,,17920365,17920365,,,,,17920365
CD010254-bib-0007,"Betteridge DJ, Gibson JM. ","Effects of rosuvastatin on lipids, lipoproteins and apolipoproteins in the dyslipidaemia of diabetes", Diabetic Medicine ,2007,24,    ,['citation-journal']," Betteridge DJ, Gibson JM. Effects of rosuvastatin on lipids, lipoproteins and apolipoproteins in the dyslipidaemia of diabetes.  Diabetic Medicine 2007;24(5):541‐9. [MEDLINE: 17367312]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1111/j.1464-5491.2007.02095.x', 'https://www.ncbi.nlm.nih.gov/pubmed/17367312', 'https://scholar.google.com/scholar_lookup?title=Effects+of+rosuvastatin+on+lipids,+lipoproteins+and+apolipoproteins+in+the+dyslipidaemia+of+diabetes+&author=DJ+Betteridge&author=JM+Gibson&publication_year=2007&hl=en']",17367312,https://doi.org/10.1111/j.1464-5491.2007.02095.x, ANDROMEDA 2007 {published data only}  ,included,CD010254-bbs2-0003,,17367312,,17367312,42,,,17367312
CD010254-bib-0008,AstraZeneca. ,"A 6‐week, randomized, open‐label, comparative study to evaluate the efficacy and safety of rosuvastatin versus atorvastatin in the treatment of hypercholesterolaemia in African American subjects. (ARIES)",,,,   ,['citation-other']," AstraZeneca. A 6‐week, randomized, open‐label, comparative study to evaluate the efficacy and safety of rosuvastatin versus atorvastatin in the treatment of hypercholesterolaemia in African American subjects. (ARIES). http://www.astrazenecaclinicaltrials.com/_mshost800325/content/clinical‐trials/resources/pdf/D3560L00022 (accessed 07 July 2004). [Study code D3560L00022/4522US0002]CENTRAL    ",[''],,, ARIES 2006 {published data only}  ,included,CD010254-bbs2-0004,,,,,,,,
CD010254-bib-0009,"Ferdinand KC, Clark LT, Watson KE, Neal RC, Brown CD, Kong BW, et al. ",Comparison of efficacy and safety of rosuvastatin versus atorvastatin in African‐American patients in a six‐week trial, American Journal of Cardiology ,2006,97,    ,['citation-journal']," Ferdinand KC, Clark LT, Watson KE, Neal RC, Brown CD, Kong BW, et al. Comparison of efficacy and safety of rosuvastatin versus atorvastatin in African‐American patients in a six‐week trial.  American Journal of Cardiology 2006;97(2):229‐35. [MEDLINE: 16442368]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.amjcard.2005.08.026', 'https://www.ncbi.nlm.nih.gov/pubmed/16442368', 'https://scholar.google.com/scholar_lookup?title=Comparison+of+efficacy+and+safety+of+rosuvastatin+versus+atorvastatin+in+African‐American+patients+in+a+six‐week+trial+&author=KC+Ferdinand&author=LT+Clark&author=KE+Watson&author=RC+Neal&author=CD+Brown&author=BW+Kong&publication_year=2006&hl=en']",16442368,https://doi.org/10.1016/j.amjcard.2005.08.026, ARIES 2006 {published data only}  ,included,CD010254-bbs2-0004,,,,16442368,73,,,16442368
CD010254-bib-0010,"Fonseca FA, Izar MCO, Silva MA, Karapanos A, Schuster H, Singh D. ",Rosuvastatin may be more effective than atorvastatin in African‐Americans with hypercholesterolemia, Evidence‐based Cardiovascular Medicine ,2006,10,    ,['citation-journal']," Fonseca FA, Izar MCO, Silva MA, Karapanos A, Schuster H, Singh D. Rosuvastatin may be more effective than atorvastatin in African‐Americans with hypercholesterolemia.  Evidence‐based Cardiovascular Medicine 2006;10(2):96‐100. [MEDLINE: 16753506]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.ebcm.2006.04.017', 'https://www.ncbi.nlm.nih.gov/pubmed/16753506', 'https://scholar.google.com/scholar_lookup?title=Rosuvastatin+may+be+more+effective+than+atorvastatin+in+African‐Americans+with+hypercholesterolemia&author=FA+Fonseca&author=MCO+Izar&author=MA+Silva&author=A+Karapanos&author=H+Schuster&author=D+Singh&publication_year=2006&hl=en']",16753506,https://doi.org/10.1016/j.ebcm.2006.04.017, ARIES 2006 {published data only}  ,included,CD010254-bbs2-0004,,16753506,16753506,16753506,1,,,16753506
