Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Mortality at 12 months' follow‐up Show forest plot,14,9924,"Risk Ratio (M‐H, Random, 95% CI)","0.98 [0.84, 1.15]",Case management compared with usual care for mortality,1,1,1,,Mortality at 12 months' follow‐up Show forest plot
1.2 Mortality between 6 and 36 months' follow‐up Show forest plot,0,,Other data,No numeric data,Case management compared with usual care for mortality,1,1,2,,Mortality between 6 and 36 months' follow‐up Show forest plot
Mortality between 6 and 36 months' follow‐up,Mortality between 6 and 36 months' follow‐up,Mortality between 6 and 36 months' follow‐up,,,Case management compared with usual care for mortality,1,Mortality,,between 6 and 36 m,
Study,Results,Notes,,,Case management compared with usual care for mortality,1,Study,,,
Applebaum 2002,Number of individuals who died IG: 5/88; CG: 4/67,Number of participants at baseline: intervention group (IG): 88; control group (CG): 67. Follow‐up: 6 months.,,,Case management compared with usual care for mortality,1,Applebaum,,,
Kono 2012,Number of individuals who died IG: 11/161; CG: 20/162,Number of participants at baseline: intervention group (IG): 161; control group (CG): 162. Follow‐up: baseline–24 months.,,,Case management compared with usual care for mortality,1,Kono,,,
Kono 2016,Number of individuals who died 12–24 months: IG: 12/171; CG: 2/172 24–36 months: IG: 7/158; CG: 10/168,Number of participants at baseline: intervention group (IG): 179; control group (CG): 181. Follow‐up: 12–24 months and 24–36 months.,,,Case management compared with usual care for mortality,1,Kono,,,
Metzelthin 2013,Number of individuals who died IG: 6/157; CG: 7/141,Number of participants at baseline: intervention group (IG): 193; control group (CG): 153. Follow‐up: 12–24 months.,,,Case management compared with usual care for mortality,1,Metzelthin,,,
Parsons 2012,Number of individuals who died IG: 10/117; CG: 13/116,Number of participants at baseline: intervention group (IG): 169; control group (CG): 182. Follow‐up: 12–24 months.,,,Case management compared with usual care for mortality,1,Parsons,,,
Suijker 2016,Number of individuals who died IG: 56/936; CG: 46/817,Number of participants at baseline: intervention group (IG): 1209; control group (CG): 1074. Follow‐up: 12–24 months.,,,Case management compared with usual care for mortality,1,Suijker,,,
van Hout 2010,Number of individuals who died IG: 27/331; CG: 31/320,Number of participants at baseline: intervention group (IG): 331; control group (CG): 320. Follow‐up: 18 months.,,,Case management compared with usual care for mortality,1,van,,,
2.1 Change in place of residence to a nursing home at 12 months follow‐up Show forest plot,4,1108,"Risk Ratio (M‐H, Random, 95% CI)","0.73 [0.53, 1.01]",Case management compared with usual care for change in place of residence to a nursing or residential home,3,2,1,,Change in place of residence to a nursing home at 12 months follow‐up Show forest plot
"2.2 Change in place of residence to nursing or residential home, and days spent in a nursing home or home for the aged, between 6 and 24 months' follow‐up Show forest plot",0,,Other data,No numeric data,Case management compared with usual care for change in place of residence to a nursing or residential home,3,2,2,,"Change in place of residence to nursing or residential home, and days spent in a nursing home or home for the aged, between 6 and 24 months' follow‐up Show forest plot"
