reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD013775-bib-0001,"Arfken CL, Reno PL, Santiago JV, Klein R. ",Development of proliferative diabetic retinopathy in African-Americans and whites with type 1 diabetes, Diabetes Care ,1998,21,    ,['citation-journal']," Arfken CL, Reno PL, Santiago JV, Klein R. Development of proliferative diabetic retinopathy in African-Americans and whites with type 1 diabetes.  Diabetes Care 1998;21(5):792-5. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.2337/diacare.21.5.792', 'https://www.ncbi.nlm.nih.gov/pubmed/9589242', 'https://scholar.google.com/scholar_lookup?title=Development+of+proliferative+diabetic+retinopathy+in+African-Americans+and+whites+with+type+1+diabetes+&author=CL+Arfken&author=PL+Reno&author=JV+Santiago&author=R+Klein&publication_year=1998&hl=en']",9589242,https://doi.org/10.2337/diacare.21.5.792, Arfken 1998 {published data only}  ,included,CD013775-bbs2-0001,,9589242,,,,,,9589242
CD013775-bib-0002,"Ballard DJ, Melton LJ, Dwyer MS, Trautmann JC, Chu CP, O'Fallon WM, et al. ","Risk factors for diabetic retinopathy: a population-based study in Rochester, Minnesota", Diabetes Care ,1986,9,    ,['citation-journal']," Ballard DJ, Melton LJ, Dwyer MS, Trautmann JC, Chu CP, O'Fallon WM, et al. Risk factors for diabetic retinopathy: a population-based study in Rochester, Minnesota.  Diabetes Care 1986;9(4):334-42. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.2337/diacare.9.4.334', 'https://www.ncbi.nlm.nih.gov/pubmed/3743309', ""https://scholar.google.com/scholar_lookup?title=Risk+factors+for+diabetic+retinopathy:+a+population-based+study+in+Rochester,+Minnesota&author=DJ+Ballard&author=LJ+Melton&author=MS+Dwyer&author=JC+Trautmann&author=CP+Chu&author=WM+O'Fallon&publication_year=1986&hl=en""]",3743309,https://doi.org/10.2337/diacare.9.4.334, Ballard 1986 {published data only}  ,included,CD013775-bbs2-0002,,,,,,,,3743309
CD013775-bib-0003,"Bojestig M, Arnqvist HJ, Karlberg BE, Ludvigsson J. ",Unchanged incidence of severe retinopathy in a population of Type 1 diabetic patients with marked reduction of nephropathy, Diabetic Medicine ,1998,15,    ,['citation-journal']," Bojestig M, Arnqvist HJ, Karlberg BE, Ludvigsson J. Unchanged incidence of severe retinopathy in a population of Type 1 diabetic patients with marked reduction of nephropathy.  Diabetic Medicine 1998;15(10):863-9. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1002/(SICI)1096-9136(199810)15:10<863::AID-DIA665>3.0.CO;2-O', 'https://www.ncbi.nlm.nih.gov/pubmed/9796888', 'https://scholar.google.com/scholar_lookup?title=Unchanged+incidence+of+severe+retinopathy+in+a+population+of+Type+1+diabetic+patients+with+marked+reduction+of+nephropathy+&author=M+Bojestig&author=HJ+Arnqvist&author=BE+Karlberg&author=J+Ludvigsson&publication_year=1998&hl=en']",9796888,https://doi.org/10.1002/(SICI)1096-9136(199810)15:10<863::AID-DIA665>3.0.CO;2-O, Bojestig 1998 {published data only}  ,included,CD013775-bbs2-0003,,,,,,,,9796888
CD013775-bib-0004,"Burditt AG, Caird FI, Draper GJ. ",The natural history of diabetic retinopathy, Quarterly Journal of Medicine ,1968,37,    ,['citation-journal']," Burditt AG, Caird FI, Draper GJ. The natural history of diabetic retinopathy.  Quarterly Journal of Medicine 1968;37(146):303-17. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/5656160', 'https://scholar.google.com/scholar_lookup?title=The+natural+history+of+diabetic+retinopathy&author=AG+Burditt&author=FI+Caird&author=GJ+Draper&publication_year=1968&hl=en']",5656160,, Burditt 1968 {published data only}  ,included,CD013775-bbs2-0004,,5656160,,,,,,5656160
CD013775-bib-0005,"Burgess P, Allain TJ, Msukwa G, Pindani C, Mbewe F, Garcia-Finana M, et al. ",Incidence and progression of retinopathy and visual impairment in people with diabetes in Sub-Saharan Africa; relationship with population specific variables, Investigative Ophthalmology and Visual Science ,2015,56,    ,['citation-journal']," Burgess P, Allain TJ, Msukwa G, Pindani C, Mbewe F, Garcia-Finana M, et al. Incidence and progression of retinopathy and visual impairment in people with diabetes in Sub-Saharan Africa; relationship with population specific variables.  Investigative Ophthalmology and Visual Science 2015;56(7):1446. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Incidence+and+progression+of+retinopathy+and+visual+impairment+in+people+with+diabetes+in+Sub-Saharan+Africa;+relationship+with+population+specific+variables+&author=P+Burgess&author=TJ+Allain&author=G+Msukwa&author=C+Pindani&author=F+Mbewe&author=M+Garcia-Finana&publication_year=2015&hl=en']",,, Burgess 2015 {published data only}  ,included,CD013775-bbs2-0005,,,,,,,,
CD013775-bib-0006,"Harding S, Burgess P, Pindani C, Msukwa G, Garcia-Finana M, Allain T. ",Five year progression of diabetic retinopathy in Malawi, European Journal of Ophthalmology ,2014,24,    ,['citation-journal']," Harding S, Burgess P, Pindani C, Msukwa G, Garcia-Finana M, Allain T. Five year progression of diabetic retinopathy in Malawi.  European Journal of Ophthalmology 2014;24(3):457. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Five+year+progression+of+diabetic+retinopathy+in+Malawi&author=S+Harding&author=P+Burgess&author=C+Pindani&author=G+Msukwa&author=M+Garcia-Finana&author=T+Allain&publication_year=2014&hl=en']",,, Burgess 2015 {published data only}  ,included,CD013775-bbs2-0005,,,,,,,,
CD013775-bib-0007,"Chawla S, Trehan S, Chawla A, Jaggi S, Chawla R, Kumar V, et al. ",Relationship between diabetic retinopathy microalbuminuria and other modifiable risk factors, Primary Care Diabetes ,2021,15,    ,['citation-journal']," Chawla S, Trehan S, Chawla A, Jaggi S, Chawla R, Kumar V, et al. Relationship between diabetic retinopathy microalbuminuria and other modifiable risk factors.  Primary Care Diabetes 2021;15(3):567-70. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.pcd.2021.01.012', 'https://www.ncbi.nlm.nih.gov/pubmed/33551334', 'https://scholar.google.com/scholar_lookup?title=Relationship+between+diabetic+retinopathy+microalbuminuria+and+other+modifiable+risk+factors+&author=S+Chawla&author=S+Trehan&author=A+Chawla&author=S+Jaggi&author=R+Chawla&author=V+Kumar&publication_year=2021&hl=en']",33551334,https://doi.org/10.1016/j.pcd.2021.01.012, Chawla 2021 {published data only}  ,included,CD013775-bbs2-0006,,,33551334,,,,,33551334
CD013775-bib-0008,"Chen MS, Kao CS, Fu CC, Chen CJ, Tai TY. ",Incidence and progression of diabetic retinopathy among non-insulin-dependent diabetic subjects: a 4-year follow-up, International Journal of Epidemiology ,1995,24,    ,['citation-journal']," Chen MS, Kao CS, Fu CC, Chen CJ, Tai TY. Incidence and progression of diabetic retinopathy among non-insulin-dependent diabetic subjects: a 4-year follow-up.  International Journal of Epidemiology 1995;24(4):787-95. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1093/ije/24.4.787', 'https://www.ncbi.nlm.nih.gov/pubmed/8550277', 'https://scholar.google.com/scholar_lookup?title=Incidence+and+progression+of+diabetic+retinopathy+among+non-insulin-dependent+diabetic+subjects:+a+4-year+follow-up+&author=MS+Chen&author=CS+Kao&author=CC+Fu&author=CJ+Chen&author=TY+Tai&publication_year=1995&hl=en']",8550277,https://doi.org/10.1093/ije/24.4.787, Chen 1995 {published data only}  ,included,CD013775-bbs2-0007,,8550277,8550277,,,,,8550277
CD013775-bib-0009,"Cho A, Park HC, Lee YK, Shin YJ, Bae SH, Kim H. ",Progression of diabetic retinopathy and declining renal function in patients with type 2 diabetes, Journal of Diabetes Research ,2020,2020,    ,['citation-journal']," Cho A, Park HC, Lee YK, Shin YJ, Bae SH, Kim H. Progression of diabetic retinopathy and declining renal function in patients with type 2 diabetes.  Journal of Diabetes Research 2020;2020:8784139. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1155/2020/8784139', 'https://www.ncbi.nlm.nih.gov/pubmed/32802891', 'https://scholar.google.com/scholar_lookup?title=Progression+of+diabetic+retinopathy+and+declining+renal+function+in+patients+with+type+2+diabetes+&author=A+Cho&author=HC+Park&author=YK+Lee&author=YJ+Shin&author=SH+Bae&author=H+Kim&publication_year=2020&hl=en']",32802891,https://doi.org/10.1155/2020/8784139, Cho 2019 {published data only}  ,included,CD013775-bbs2-0008,,32802891,,,,,,32802891
CD013775-bib-0010,"Dwyer MS, Melton LJ 3rd, Ballard DJ, Palumbo PJ, Trautmann JC, Chu CP. ","Incidence of diabetic retinopathy and blindness: a population-based study in Rochester, Minnesota", Diabetes Care ,1985,8,    ,['citation-journal']," Dwyer MS, Melton LJ 3rd, Ballard DJ, Palumbo PJ, Trautmann JC, Chu CP. Incidence of diabetic retinopathy and blindness: a population-based study in Rochester, Minnesota.  Diabetes Care 1985;8(4):316-22. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.2337/diacare.8.4.316', 'https://www.ncbi.nlm.nih.gov/pubmed/4042796', 'https://scholar.google.com/scholar_lookup?title=Incidence+of+diabetic+retinopathy+and+blindness:+a+population-based+study+in+Rochester,+Minnesota+&author=MS+Dwyer&author=DJ+Ballard&author=PJ+Palumbo&author=JC+Trautmann&author=CP+Chu&publication_year=1985&hl=en']",4042796,https://doi.org/10.2337/diacare.8.4.316, Dwyer 1985 {published data only}  ,included,CD013775-bbs2-0009,,4042796,4042796,,,,,4042796
CD013775-bib-0011,"Gange WS, Lopez J, Xu BY, Lung K, Seabury SA, Toy BC. ",Incidence of proliferative diabetic retinopathy and other neovascular sequelae at 5 years following diagnosis of type 2 diabetes, Diabetes Care ,2021,44,    ,['citation-journal']," Gange WS, Lopez J, Xu BY, Lung K, Seabury SA, Toy BC. Incidence of proliferative diabetic retinopathy and other neovascular sequelae at 5 years following diagnosis of type 2 diabetes.  Diabetes Care 2021;44(11):2518-26. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.2337/dc21-0228', 'https://www.ncbi.nlm.nih.gov/pubmed/34475031', 'https://scholar.google.com/scholar_lookup?title=Incidence+of+proliferative+diabetic+retinopathy+and+other+neovascular+sequelae+at+5+years+following+diagnosis+of+type+2+diabetes+&author=WS+Gange&author=J+Lopez&author=BY+Xu&author=K+Lung&author=SA+Seabury&author=BC+Toy&publication_year=2021&hl=en']",34475031,https://doi.org/10.2337/dc21-0228, Gange 2021 {published data only}  ,included,CD013775-bbs2-0010,,35245351,,,,,,34475031
CD013775-bib-0012,"Gaedt Thorlund M, Borg Madsen M, Green A, Sjølie AK, Grauslund J. ",Is smoking a risk factor for proliferative diabetic retinopathy in type 1 diabetes?, Ophthalmologica ,2013,230,    ,['citation-journal']," Gaedt Thorlund M, Borg Madsen M, Green A, Sjølie AK, Grauslund J. Is smoking a risk factor for proliferative diabetic retinopathy in type 1 diabetes? Ophthalmologica 2013;230(1):50-4. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1159/000350813', 'https://www.ncbi.nlm.nih.gov/pubmed/23751972', 'https://scholar.google.com/scholar_lookup?title=Is+smoking+a+risk+factor+for+proliferative+diabetic+retinopathy+in+type+1+diabetes?&author=M+GaedtThorlund&author=M+BorgMadsen&author=A+Green&author=AK+Sjølie&author=J+Grauslund&publication_year=2013&hl=en']",23751972,https://doi.org/10.1159/000350813, Grauslund 2009 {published data only}  ,included,CD013775-bbs2-0011,,23751972,,,,,,23751972
