Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Disease activity (adults) Show forest plot,3,428,"Std. Mean Difference (IV, Random, 95% CI)","0.09 [‐0.11, 0.29]",Web‐based disease monitoring versus usual care,1,0.09,-0.11,0.29,1,1,,Disease activity (adults) Show forest plot
1.1.1 Crohn's disease,2,273,"Std. Mean Difference (IV, Random, 95% CI)","0.03 [‐0.21, 0.28]",Web‐based disease monitoring versus usual care,1,0.03,-0.21,0.28,1,1,,Crohn's disease
1.1.2 Ulcerative colitis,3,155,"Std. Mean Difference (IV, Random, 95% CI)","0.19 [‐0.13, 0.52]",Web‐based disease monitoring versus usual care,1,0.19,-0.13,0.52,1,1,,Ulcerative colitis
1.2 Disease activity (adults; fixed‐effect sensitivity analysis) Show forest plot,3,428,"Std. Mean Difference (IV, Fixed, 95% CI)","0.09 [‐0.11, 0.29]",Web‐based disease monitoring versus usual care,1,0.09,-0.11,0.29,1,2,,Disease activity (adults; fixed‐effect sensitivity analysis) Show forest plot
1.2.1 Crohn's disease,2,273,"Std. Mean Difference (IV, Fixed, 95% CI)","0.03 [‐0.21, 0.28]",Web‐based disease monitoring versus usual care,1,0.03,-0.21,0.28,1,2,,Crohn's disease
1.2.2 Ulcerative colitis,3,155,"Std. Mean Difference (IV, Fixed, 95% CI)","0.19 [‐0.13, 0.52]",Web‐based disease monitoring versus usual care,1,0.19,-0.13,0.52,1,2,,Ulcerative colitis
1.3 Flare‐ups/relapse (dichotomous; adults) Show forest plot,5,868,"Risk Ratio (M‐H, Random, 95% CI)","1.09 [0.93, 1.27]",Web‐based disease monitoring versus usual care,1,1.09,0.93,1.27,1,3,,Flare‐ups/relapse (dichotomous; adults) Show forest plot
1.3.1 Mixed inflammatory bowel disease,1,42,"Risk Ratio (M‐H, Random, 95% CI)","1.17 [0.47, 2.89]",Web‐based disease monitoring versus usual care,1,1.17,0.47,2.89,1,3,,Mixed inflammatory bowel disease
1.3.2 Crohn's disease,2,309,"Risk Ratio (M‐H, Random, 95% CI)","1.12 [0.73, 1.71]",Web‐based disease monitoring versus usual care,1,1.12,0.73,1.71,1,3,,Crohn's disease
1.3.3 Ulcerative colitis,4,517,"Risk Ratio (M‐H, Random, 95% CI)","1.08 [0.90, 1.30]",Web‐based disease monitoring versus usual care,1,1.08,0.9,1.3,1,3,,Ulcerative colitis
1.4 Flare‐ups/relapse (dichotomous; adults; fixed‐effect sensitivity analysis) Show forest plot,5,868,"Risk Ratio (M‐H, Fixed, 95% CI)","1.10 [0.94, 1.29]",Web‐based disease monitoring versus usual care,1,1.1,0.94,1.29,1,4,,Flare‐ups/relapse (dichotomous; adults; fixed‐effect sensitivity analysis) Show forest plot
1.4.1 Mixed inflammatory bowel disease,1,42,"Risk Ratio (M‐H, Fixed, 95% CI)","1.17 [0.47, 2.89]",Web‐based disease monitoring versus usual care,1,1.17,0.47,2.89,1,4,,Mixed inflammatory bowel disease
1.4.2 Crohn's disease,2,309,"Risk Ratio (M‐H, Fixed, 95% CI)","1.11 [0.81, 1.52]",Web‐based disease monitoring versus usual care,1,1.11,0.81,1.52,1,4,,Crohn's disease
1.4.3 Ulcerative colitis,4,517,"Risk Ratio (M‐H, Fixed, 95% CI)","1.09 [0.91, 1.32]",Web‐based disease monitoring versus usual care,1,1.09,0.91,1.32,1,4,,Ulcerative colitis
1.5 Flare‐ups (continuous; adults) Show forest plot,1,909,"Mean Difference (IV, Random, 95% CI)","0.00 [‐0.06, 0.06]",Web‐based disease monitoring versus usual care,1,0.0,-0.06,0.06,1,5,,Flare‐ups (continuous; adults) Show forest plot
1.6 Flare‐ups/relapse (dichotomous; children) Show forest plot,1,170,"Risk Ratio (M‐H, Random, 95% CI)","0.99 [0.65, 1.51]",Web‐based disease monitoring versus usual care,1,0.99,0.65,1.51,1,6,,Flare‐ups/relapse (dichotomous; children) Show forest plot
1.6.1 Mixed inflammatory bowel disease,1,170,"Risk Ratio (M‐H, Random, 95% CI)","0.99 [0.65, 1.51]",Web‐based disease monitoring versus usual care,1,0.99,0.65,1.51,1,6,,Mixed inflammatory bowel disease
1.7 Quality of life (adults) Show forest plot,4,1099,"Std. Mean Difference (IV, Random, 95% CI)","0.08 [‐0.04, 0.20]",Web‐based disease monitoring versus usual care,1,0.08,-0.04,0.2,1,7,,Quality of life (adults) Show forest plot
1.7.1 Mixed inflammatory bowel disease,2,971,"Std. Mean Difference (IV, Random, 95% CI)","0.07 [‐0.06, 0.19]",Web‐based disease monitoring versus usual care,1,0.07,-0.06,0.19,1,7,,Mixed inflammatory bowel disease
1.7.2 Crohn's disease,1,70,"Std. Mean Difference (IV, Random, 95% CI)","0.39 [‐0.09, 0.86]",Web‐based disease monitoring versus usual care,1,0.39,-0.09,0.86,1,7,,Crohn's disease
1.7.3 Ulcerative colitis,2,58,"Std. Mean Difference (IV, Random, 95% CI)","0.03 [‐0.62, 0.69]",Web‐based disease monitoring versus usual care,1,0.03,-0.62,0.69,1,7,,Ulcerative colitis
1.8 Quality of life (adults; fixed‐effect sensitivity analysis) Show forest plot,4,1099,"Std. Mean Difference (IV, Fixed, 95% CI)","0.08 [‐0.04, 0.20]",Web‐based disease monitoring versus usual care,1,0.08,-0.04,0.2,1,8,,Quality of life (adults; fixed‐effect sensitivity analysis) Show forest plot
1.8.1 Mixed inflammatory bowel disease,2,971,"Std. Mean Difference (IV, Fixed, 95% CI)","0.07 [‐0.06, 0.19]",Web‐based disease monitoring versus usual care,1,0.07,-0.06,0.19,1,8,,Mixed inflammatory bowel disease
1.8.2 Crohn's disease,1,70,"Std. Mean Difference (IV, Fixed, 95% CI)","0.39 [‐0.09, 0.86]",Web‐based disease monitoring versus usual care,1,0.39,-0.09,0.86,1,8,,Crohn's disease
1.8.3 Ulcerative colitis,2,58,"Std. Mean Difference (IV, Fixed, 95% CI)","0.02 [‐0.50, 0.54]",Web‐based disease monitoring versus usual care,1,0.02,-0.5,0.54,1,8,,Ulcerative colitis
1.9 Medication adherence (continuous; adults) Show forest plot,1,671,"Mean Difference (IV, Random, 95% CI)","0.24 [0.01, 0.47]",Web‐based disease monitoring versus usual care,1,0.24,0.01,0.47,1,9,,Medication adherence (continuous; adults) Show forest plot
1.10 Medication adherence (continuous; children) Show forest plot,1,33,"Mean Difference (IV, Random, 95% CI)","0.00 [‐0.63, 0.63]",Web‐based disease monitoring versus usual care,1,0.0,-0.63,0.63,1,10,,Medication adherence (continuous; children) Show forest plot
1.11 Medication adherence (dichotomous; adults) Show forest plot,2,89,"Risk Ratio (M‐H, Random, 95% CI)","0.87 [0.62, 1.21]",Web‐based disease monitoring versus usual care,1,0.87,0.62,1.21,1,11,,Medication adherence (dichotomous; adults) Show forest plot
1.11.1 Mixed inflammatory bowel syndrome,1,42,"Risk Ratio (M‐H, Random, 95% CI)","0.86 [0.53, 1.38]",Web‐based disease monitoring versus usual care,1,0.86,0.53,1.38,1,11,,Mixed inflammatory bowel syndrome
